id,set,human_score,sentence_count,word_count,avg_word_length,misspell_words,char_4,char_6,char_8,char_10,char_12,mean_char,std_char,word_10,word_18,word_25,mean_word,std_word,pos_1,pos_2,pos_3,pos_4,pos_5,pos_6,pos_7,pos_8,pos_9,pos_10,pos_11,pos_12,pos_13,pos_14,pos_15,pos_16,pos_17,pos_18,pos_19,pos_20,pos_21,pos_22,pos_23,beauty_score,vocabulory_score,maturity_score,bag_of_words_score,uniq_score,TTR
20716,8,34,40,664,39.1265060241,83,204,80,17,8,5,3.91265060241,2.03251611855,29,14,6,16.625,8.26041009878,61,47,53,9,24,4,4,43,0,130,8,44,100,25,29,99,8,6,13,10,1,7,9,15.8915078385,221,4.58981900452,14.0,239,2.77824267782
20717,8,46,30,780,39.7051282051,11,242,93,21,8,1,3.97051282051,2.04892714181,29,24,15,26.0,10.9422727682,32,67,77,15,24,3,6,41,3,97,41,13,92,25,69,71,16,13,20,4,4,1,4,21.385109812,348,5.05511494253,18.0,278,2.80575539568
20718,8,40,40,848,40.4009433962,15,291,110,28,12,1,4.04009433962,2.19493804052,34,21,12,21.2,10.2791050194,33,86,96,20,21,10,4,50,3,121,36,0,102,17,62,60,25,7,21,16,6,6,9,25.286139923,322,5.07729813665,19.0,290,2.92413793103
20719,8,30,23,705,37.304964539,18,214,61,4,1,0,3.7304964539,1.75761101673,17,12,7,30.6956521739,29.1956440804,10,82,81,15,17,7,13,36,1,106,15,19,74,23,48,41,16,16,34,19,4,7,2,19.8220596497,265,4.97041509434,13.0,227,3.10572687225
20721,8,26,28,646,34.5820433437,67,130,24,1,0,0,3.45820433437,1.48081871186,22,18,16,23.0714285714,14.8755037644,30,38,51,2,17,1,8,49,0,111,8,45,46,14,61,94,11,9,29,8,1,2,4,22.5732963578,248,4.74560483871,31.0,181,3.56906077348
20722,8,40,56,695,43.1654676259,159,315,92,20,2,1,4.31654676259,2.04642082722,31,10,2,12.4107142857,7.3479267866,7,54,64,6,22,4,6,68,0,105,17,205,77,10,42,17,22,2,56,41,1,0,1,16.8930796851,205,5.10546341463,0,233,2.98283261803
20723,8,40,84,825,40.8,79,308,96,21,3,0,4.08,1.97886895223,44,3,1,9.82142857143,5.46669725809,33,67,80,9,22,3,21,62,2,121,21,82,90,34,59,82,22,20,19,5,1,0,7,23.2013312664,304,5.12213815789,0,336,2.45535714286
20724,8,34,19,291,38.7628865979,3,84,21,5,4,0,3.87628865979,1.89695435729,14,6,2,15.3684210526,7.27801683743,18,24,30,2,13,1,3,21,1,44,7,4,29,7,29,1,1,2,20,11,0,0,6,5.34135825397,117,5.16333333333,0,112,2.59821428571
20725,8,41,47,733,42.8785811733,21,273,124,38,5,2,4.28785811733,2.24590153051,35,18,6,15.5957446809,7.02475735772,32,66,97,17,13,5,6,61,0,107,30,14,73,16,54,19,20,12,27,30,7,7,5,17.0232859343,305,5.34108196721,0,285,2.57192982456
20726,8,40,35,537,43.5009310987,52,226,87,18,4,0,4.35009310987,2.08682009007,23,10,4,15.3428571429,11.717978512,19,40,63,13,7,6,5,43,2,70,24,67,50,6,53,17,12,3,20,17,1,5,8,10.8910073347,219,5.17228310502,0,231,2.32467532468
20727,8,31,19,439,39.9316628702,28,143,52,8,4,1,3.99316628702,1.92495003722,17,11,5,23.1052631579,12.6943615202,16,52,54,7,10,3,5,22,3,73,26,18,31,20,19,25,12,4,14,6,2,0,3,10.2320691088,169,5.13319526627,0,215,2.04186046512
20728,8,44,33,816,46.3235294118,76,321,164,71,53,44,4.63235294118,2.90159801166,30,26,12,24.7272727273,12.5608162427,6,83,92,7,22,1,11,70,5,118,42,100,70,22,59,64,25,14,18,22,1,3,9,18.8161393194,286,5.0577972028,0,350,2.33142857143
